更新时间: 2026-04-11 14:44:12（北京时间）

更新时间,#genre#
2026-04-11 14:44:12,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
湖北卫视,http://115.171.216.58:4000/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://111.193.235.246:8888/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
江西卫视,http://115.171.216.58:4000/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://111.193.235.246:8888/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
四川卫视,http://111.193.235.246:8888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
重庆卫视,http://115.171.216.58:4000/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://111.193.235.246:8888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
贵州卫视,http://115.171.216.58:4000/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://111.193.235.246:8888/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
云南卫视,http://111.193.235.246:8888/rtp/239.3.1.26:8108$北京市联通
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
天津卫视,http://115.171.216.58:4000/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://111.193.235.246:8888/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
安徽卫视,http://115.171.216.58:4000/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://111.193.235.246:8888/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
山东卫视,http://115.171.216.58:4000/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://111.193.235.246:8888/rtp/239.3.1.209:8052$北京市联通
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://106.116.240.74:9999/rtp/239.254.200.55:8052$河北省电信
辽宁卫视,http://115.171.216.58:4000/rtp/225.1.8.51:8056$北京市电信
辽宁卫视,http://111.193.235.246:8888/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://106.116.240.74:9999/rtp/239.254.200.57:8056$河北省电信
黑龙江卫视,http://115.171.216.58:4000/rtp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://111.193.235.246:8888/rtp/239.3.1.133:8016$北京市联通
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://106.116.240.74:9999/rtp/239.254.200.49:8016$河北省电信
吉林卫视,http://111.193.235.246:8888/rtp/239.3.1.240:8172$北京市联通
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://106.116.240.74:9999/rtp/239.254.201.15:6339$河北省电信
内蒙古卫视,http://111.193.235.246:8888/rtp/239.3.1.43:8176$北京市联通
宁夏卫视,http://111.193.235.246:8888/rtp/239.3.1.169:8212$北京市联通
山西卫视,http://111.193.235.246:8888/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://111.193.235.246:8888/rtp/239.3.1.41:8140$北京市联通
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://111.193.235.246:8888/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
青海卫视,http://111.193.235.246:8888/rtp/239.3.1.44:8184$北京市联通
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
新疆卫视,http://111.193.235.246:8888/rtp/239.3.1.167:8192$北京市联通
西藏卫视,http://111.193.235.246:8888/rtp/239.3.1.166:8188$北京市联通
三沙卫视,http://115.171.216.58:4000/rtp/225.1.8.78:4120$北京市电信
三沙卫视,http://111.193.235.246:8888/rtp/239.3.1.155:4120$北京市联通
三沙卫视,http://106.116.240.74:9999/rtp/239.254.200.165:4120$河北省电信
兵团卫视,http://111.193.235.246:8888/rtp/239.3.1.168:8196$北京市联通
兵团卫视,http://106.116.240.74:9999/rtp/239.254.200.156:4120$河北省电信
山东教育卫视,http://111.193.235.246:8888/rtp/239.3.1.52:4120$北京市联通
山东教育卫视,http://106.116.240.74:9999/rtp/239.254.200.247:4120$河北省电信
中国教育1台,http://115.171.216.58:4000/rtp/225.1.8.32:8152$北京市电信
中国教育1台,http://115.171.216.58:4000/rtp/225.1.8.169:4120$北京市电信
中国教育1台,http://111.193.235.246:8888/rtp/239.3.1.57:8152$北京市联通
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://106.116.240.74:9999/rtp/239.254.200.225:6259$河北省电信
中国教育2台,http://115.171.216.58:4000/rtp/225.1.8.193:4120$北京市电信
中国教育2台,http://111.193.235.246:8888/rtp/239.3.1.54:4120$北京市联通
中国教育3台,http://115.171.216.58:4000/rtp/225.1.8.194:4120$北京市电信
中国教育3台,http://111.193.235.246:8888/rtp/239.3.1.55:4120$北京市联通
中国教育4台,http://115.171.216.58:4000/rtp/225.1.8.195:4120$北京市电信
中国教育4台,http://111.193.235.246:8888/rtp/239.3.1.56:4120$北京市联通
中国教育4台,http://106.116.240.74:9999/rtp/239.254.200.227:6261$河北省电信

数字频道,#genre#
CHC动作电影,http://106.116.240.74:9999/rtp/239.254.200.196:7168$河北省电信
CHC家庭影院,http://106.116.240.74:9999/rtp/239.254.200.194:7167$河北省电信
CHC影迷电影,http://106.116.240.74:9999/rtp/239.254.200.195:7166$河北省电信
淘电影,http://115.171.216.58:4000/rtp/225.1.8.38:8002$北京市电信
淘电影,http://111.193.235.246:8888/rtp/239.3.1.250:8001$北京市联通
淘精彩,http://115.171.216.58:4000/rtp/225.1.8.33:8002$北京市电信
淘精彩,http://111.193.235.246:8888/rtp/239.3.1.178:8001$北京市联通
淘剧场,http://115.171.216.58:4000/rtp/225.1.8.37:8002$北京市电信
淘剧场,http://111.193.235.246:8888/rtp/239.3.1.95:8001$北京市联通
淘4K,http://115.171.216.58:4000/rtp/225.1.8.211:8002$北京市电信
淘娱乐,http://115.171.216.58:4000/rtp/225.1.8.61:8002$北京市电信
淘娱乐,http://111.193.235.246:8888/rtp/239.3.1.100:8001$北京市联通
淘BABY,http://115.171.216.58:4000/rtp/225.1.8.36:8002$北京市电信
凤凰卫视中文台,http://106.116.240.74:9999/rtp/239.254.201.2:5226$河北省电信
凤凰卫视资讯台,http://106.116.240.74:9999/rtp/239.254.201.3:5227$河北省电信
凤凰卫视电影台,http://106.116.240.74:9999/rtp/239.254.201.1:5214$河北省电信
求索纪录,http://106.116.240.74:9999/rtp/239.254.201.176:7221$河北省电信
纪实人文,http://115.171.216.58:4000/rtp/225.1.8.53:8060$北京市电信
金鹰纪实,http://115.171.216.58:4000/rtp/225.1.8.31:8156$北京市电信
金鹰纪实,http://111.193.235.246:8888/rtp/239.3.1.58:8156$北京市联通
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://106.116.240.74:9999/rtp/239.254.200.189:6293$河北省电信
纪实科教,http://111.193.235.246:8888/rtp/239.3.1.115:8000$北京市联通
纪实科教,http://106.116.240.74:9999/rtp/239.254.200.188:6311$河北省电信
睛彩青少,http://111.193.235.246:8888/rtp/239.3.1.127:8001$北京市联通
睛彩竞技,http://111.193.235.246:8888/rtp/239.3.1.125:8001$北京市联通
睛彩篮球,http://111.193.235.246:8888/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://111.193.235.246:8888/rtp/239.3.1.128:8001$北京市联通
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
快乐垂钓,http://115.171.216.58:4000/rtp/225.1.8.71:8002$北京市电信
快乐垂钓,http://111.193.235.246:8888/rtp/239.3.1.164:8001$北京市联通
